iter	Passed	Remaining
0	1208	361466
1	2198	327585
2	3378	334489
3	4551	336832
4	5566	328418
5	6623	324537
6	7701	322343
7	8773	320225
8	9984	322823
9	10954	317676
10	12134	318816
11	13450	322801
12	14685	324207
13	15915	325127
14	17132	325514
15	18542	329125
16	19965	332367
17	21591	338273
18	23010	340306
19	24355	340977
20	25598	340092
21	27000	341193
22	28137	338869
23	29270	336605
24	30541	335957
25	31657	333625
26	32964	333304
27	33967	329968
28	35560	332304
29	37053	333477
30	38743	336196
31	40114	335958
32	41682	337252
33	43453	339960
34	44943	340285
35	46237	339073
36	47775	339594
37	48976	337678
38	50151	335630
39	51417	334214
40	52692	332865
41	54049	332016
42	55457	331452
43	57041	331877
44	58172	329645
45	59472	328389
46	60845	327527
47	62123	326150
48	63633	325960
49	64912	324562
50	66213	323275
51	67613	322465
52	69076	321920
53	70486	321106
54	71870	320149
55	73324	319485
56	74727	318574
57	75860	316523
58	77122	315027
59	78520	314083
60	79851	312859
61	81048	311119
62	82369	309867
63	83551	308096
64	84929	307054
65	86132	305378
66	87364	303819
67	88622	302359
68	90016	301360
69	91320	300053
70	92667	298885
71	93770	296939
72	95089	295690
73	96510	294747
74	97840	293520
75	99271	292589
76	100662	291527
77	102024	290378
78	103035	288238
79	104579	287592
80	105618	285562
81	106714	283703
82	107995	282350
83	109192	280780
84	110429	279320
85	111584	277662
86	112616	275716
87	113779	274105
88	115132	272955
89	116301	271370
90	117813	270582
91	118938	268905
92	120273	267704
93	121521	266313
94	122659	264685
95	124317	264173
96	125821	263316
97	127009	261794
98	128571	261038
99	130168	260336
100	131586	259265
101	133010	258195
102	134723	257675
103	136458	257171
104	137552	255454
105	138969	254339
106	140145	252785
107	141348	251286
108	142726	250098
109	143800	248382
110	145033	246949
111	146252	245495
112	147414	243950
113	148493	242279
114	149400	240340
115	150620	238915
116	151799	237429
117	152989	235966
118	154421	234876
119	155855	233783
120	157317	232725
121	158453	231186
122	159812	229974
123	161041	228575
124	162401	227362
125	163585	225904
126	164824	224524
127	166075	223164
128	167261	221719
129	168344	220143
130	169526	218702
131	170753	217322
132	171772	215684
133	173149	214498
134	174322	213060
135	175438	211558
136	176397	209873
137	177498	208368
138	178834	207139
139	180022	205739
140	181179	204308
141	182490	203052
142	183723	201709
143	184845	200249
144	185918	198740
145	187272	197533
146	188268	195953
147	189546	194669
148	190593	193152
149	191869	191869
150	193077	190519
151	194247	189136
152	195403	187740
153	196800	186577
154	198304	185510
155	199901	184524
156	200909	182993
157	202112	181645
158	203438	180407
159	204618	179041
160	205753	177637
161	207071	176394
162	208147	174945
163	209221	173500
164	210547	172265
165	211683	170876
166	213004	169638
167	214329	168401
168	215335	166916
169	216596	165632
170	217925	164400
171	219259	163169
172	220302	161724
173	221611	160477
174	222923	159230
175	223957	157788
176	225174	156477
177	226155	155005
178	227543	153814
179	228703	152469
180	230306	151416
181	231707	150227
182	232776	148824
183	233878	147445
184	235157	146179
185	236464	144929
186	237598	143575
187	239005	142386
188	240128	141027
189	241326	139715
190	242650	138475
191	243755	137112
192	245125	135898
193	246336	134596
194	247975	133525
195	249260	132260
196	250786	131121
197	252058	129848
198	253378	128599
199	254662	127331
200	255859	126020
201	257091	124727
202	258235	123393
203	259530	122132
204	260746	120833
205	262131	119613
206	263339	118312
207	264733	117093
208	265981	115810
209	267110	114475
210	268121	113093
211	269218	111751
212	270438	110460
213	271511	109112
214	272590	107768
215	273751	106458
216	275028	105195
217	276090	103850
218	277361	102585
219	278543	101288
220	279562	99934
221	280712	98628
222	281907	97340
223	282968	96007
224	284024	94674
225	285247	93399
226	286625	92174
227	287752	90869
228	288886	89567
229	290272	88343
230	291155	86968
231	292599	85761
232	293731	84463
233	295149	83247
234	296453	81997
235	297781	80754
236	299435	79596
237	300700	78333
238	302170	77123
239	303369	75842
240	304549	74557
241	305845	73301
242	307041	72021
243	308332	70764
244	309646	69512
245	310984	68264
246	312214	66993
247	313438	65720
248	314657	64447
249	315803	63160
250	316994	61883
251	318312	60631
252	319335	59323
253	320903	58116
254	322114	56843
255	323243	55557
256	324903	54361
257	325947	53061
258	327281	51808
259	328776	50580
260	330021	49313
261	331333	48056
262	332792	46818
263	334183	45570
264	335543	44317
265	337047	43081
266	338808	41875
267	340227	40624
268	341728	39381
269	343098	38122
270	344447	36859
271	345970	35614
272	347107	34329
273	348305	33050
274	349455	31768
275	350883	30511
276	351970	29224
277	353341	27962
278	354506	26683
279	355956	25425
280	357356	24162
281	358860	22905
282	360191	21636
283	361425	20362
284	362708	19089
285	363702	17803
286	365030	16534
287	366240	15260
288	367765	13998
289	369266	12733
290	370721	11465
291	371937	10190
292	372989	8911
293	374489	7642
294	376208	6376
295	377761	5104
296	379394	3832
297	380801	2555
298	382191	1278
299	383596	0
